TEMA,SUBTEMA,NUM_PERG,PERGUNTA,NOME_ARQUIVO_JS,CODIGO,LINK,TAG_GITHUB,END_TRANSFORMACOES,DESCRICAO,FREQ_DATA,TP_GRAFICO,TITULO
Trabalho e Emprego,Desemprego,,Qual a quantidade total de pessoas desempregadas em Salvador?,desemprego_total.csv,,"https://apisidra.ibge.gov.br/values/t/6398/n6/2927408/v/4092,8344,8346,8348,8350,8352,8354/p/all/c2/allxt?formato=json",(re)Conhecendo Salvador,,,trimestral,padrão,Desemprego total
Trabalho e Emprego,Desemprego,,Qual a quantidade de pessoas desempregadas organizado por raça/cor em Salvador?,desemprego_raçacor.csv,,"https://apisidra.ibge.gov.br/values/t/6402/n6/2927408/v/1641,4088,4090,4092,4094,4096,4097,4098,4099/p/all/c86/allxt?formato=json",(re)Conhecendo Salvador,,,trimestral,barra lado a lado,Desemprego por raça/cor
Trabalho e Emprego,Desemprego,,Qual a quantidade de pessoas desempregadas organizado por sexo biológico em Salvador?,desemprego_sexo.csv,,"https://apisidra.ibge.gov.br/values/t/6398/n6/2927408/v/4092,8344,8346,8348,8350,8352,8354/p/all/c2/allxt?formato=json",(re)Conhecendo Salvador,,,trimestral,barra lado a lado,Desemprego por sexo biológico
Trabalho e Emprego,Desemprego,,Qual a quantidade de pessoas desempregadas organizado por idade em Salvador?,desemprego_idade.csv,,"https://apisidra.ibge.gov.br/values/t/4094/n6/2927408/v/1641,4088,4090,4092,4094,4096,4097,4098,4099/p/all/c58/allxt?formato=json",(re)Conhecendo Salvador,,,trimestral,barra lado a lado,Desemprego por idade
Trabalho e Emprego,Desemprego,,Qual a taxa de desemprego em Salvador?,desemprego_taxa.csv,,"https://apisidra.ibge.gov.br/values/t/4099/n6/2927408/v/4099,4114,4116,4118/p/all?formato=json",(re)Conhecendo Salvador,,,trimestral,padrão,Taxa de desemprego
